REID,Pin Num,Land Value , Bldg Value , Misc Imprv Value ,  Deferred & Exempt Value,Total Taxable Value
5463,8653230675,22210,16154,300,0,38664
5466,8653230135,9000,506,55,0,9561
5469,8643716094,20712,64326,1800,0,86838
5484,8685939848,9000,131532,2500,0,143032
5486,8684399569,10000,141696,489,0,152185
5487,8684184035,8000,60463,0,0,68463
5489,8695210870,8000,10893,13600,0,32493
5498,8663711004,47500,580,0,0,48080
5510,8695131789,13000,17315,1200,0,31515
5514,8674645387,21475,193991,2000,0,217466
5520,8694485323,12500,27050,0,0,39550
5522,8685790003,8000,48439,1500,0,57939
5526,8683315832,34980,118153,6202,12840,146495
5530,8695210743,6000,730,8300,0,15030
5531,8684172616,8000,35595,0,0,43595
5532,8695210615,9000,91445,400,0,100845
5535,8685646552,28045,1889,3000,0,32934
5536,9501109420,360000,46438,26909,0,433347
5537,8695039983,20500,18068,500,0,39068
5541,8674963677,5000,734,0,0,5734
5542,8684179515,7000,30675,0,0,37675
5543,9500270838,150000,341586,18750,0,510336
5544,8684275291,17211,93070,300,0,110581
5546,8695238502,25000,436473,2000,463473,0
5547,8684273296,11500,43780,24528,0,79808
5558,8683182686,10000,61915,200,0,72115
5562,8672281151,14500,54871,200,0,69571
5565,8685476061,16250,56701,47677,0,120628
5568,8653238414,8000,21861,0,0,29861
5572,8674955152,14387,38952,500,0,53839
5574,8653122772,17190,10610,0,0,27800
5575,8684830693,8000,69322,200,0,77522
5576,8673103479,8000,42966,800,0,51766
5579,8695359779,13000,62344,0,0,75344
5581,8685566508,10000,68804,2700,0,81504
5591,8695225818,7200,54824,0,0,62024
5597,8674958424,15925,49879,0,0,65804
5607,8672198907,6000,11796,0,0,17796
5608,8685214095,44220,158049,600,0,202869
5609,8684051556,17275,45994,4799,0,68068
5613,8674649110,15000,110605,19763,0,145368
5616,8674126399,161040,231452,11900,102593,301799
5622,7643723145,14000,884,0,0,14884
5640,8684705029,43928,24431,0,0,68359
5642,8672199636,12000,31218,1100,0,44318
5649,8684158928,15750,64870,200,0,80820
5650,8673019658,10000,53436,700,0,64136
5651,8695249267,6000,3387,51,0,9438
5652,8695247267,9000,28994,100,0,38094
5654,8685404739,13000,47154,700,0,60854
5655,8673439351,21797,1007,0,1987,20817
5656,8684178384,3600,1735,100,0,5435
5662,8695248244,14500,4367,0,0,18867
5664,8673121581,24000,907,0,0,24907
5673,8683632697,0,4437,0,0,4437
5687,8664311887,15000,55390,400,0,70790
5688,8695223448,8000,62916,300,0,71216
